customer_age,account_balance,monthly_charges,total_charges,support_calls,contract_length,service_usage,satisfaction_score,tenure_months,num_services,target
39,7785.67,62.35,1554.32,1,24,49.1,6.1,17,3,1
44,5087.89,85.09,2574.71,0,12,30.4,8.6,18,2,0
43,1105.77,69.59,2080.77,2,1,44.5,6.9,12,3,0
50,2206.46,60.24,1481.37,2,1,35.2,9.0,20,3,1
40,2652.12,62.62,2228.16,2,24,20.7,6.0,21,1,0
57,6797.85,63.82,5247.76,5,1,49.2,5.1,3,2,1
37,28663.46,70.6,1177.36,4,24,46.9,4.5,7,2,0
73,15954.68,45.81,1700.07,2,12,22.0,8.3,47,1,0
48,354.58,35.69,1198.27,0,24,43.3,6.0,16,2,1
30,4171.34,78.09,1324.14,4,1,12.8,3.8,10,4,0
27,9001.49,82.96,2978.93,2,1,35.0,7.4,2,3,0
46,7542.36,79.91,2859.06,3,24,32.3,5.9,17,2,0
37,1159.97,68.1,1992.96,1,1,12.8,3.4,25,6,1
49,100000.0,80.34,3231.56,4,1,33.7,3.1,20,4,0
46,438.94,79.27,2952.13,4,1,7.6,8.2,37,4,1
39,587.11,80.75,1805.2,3,1,26.6,7.3,8,2,1
30,4231.84,47.81,159.36,2,1,33.6,6.4,1,4,0
22,71339.44,43.06,2995.74,0,24,17.5,7.4,21,1,0
35,850.4,57.23,2203.6,4,1,26.1,10.0,6,1,0
50,2000.71,64.65,2026.67,2,24,6.4,10.0,5,1,0
43,15002.03,60.16,1440.74,2,12,22.4,6.0,25,3,0
25,2902.15,27.47,2893.58,2,24,55.4,9.6,18,4,0
42,1804.6,99.43,2418.2,4,24,24.7,7.5,46,3,0
45,6963.58,59.52,1715.81,2,1,36.2,5.8,35,4,1
29,4486.27,68.45,529.45,3,12,20.8,4.5,14,2,0
42,13983.85,89.89,3281.51,2,1,37.0,7.1,9,3,1
41,20685.81,18.1,2725.89,2,24,48.0,8.1,91,5,0
26,4724.44,54.77,2306.48,5,24,35.8,3.8,27,3,0
44,4617.46,57.26,0.0,1,1,30.2,7.5,109,2,0
47,4109.95,58.27,1954.53,3,12,22.9,4.4,21,1,1
53,6208.63,61.53,1710.56,1,12,44.6,6.9,6,4,0
53,3238.15,93.94,1257.81,2,12,29.5,8.2,27,2,0
23,2978.24,78.47,2905.08,1,1,42.7,7.8,57,5,0
29,17942.74,84.16,2857.83,2,1,16.3,6.1,24,6,1
46,28974.58,65.94,2524.19,3,24,19.0,7.6,15,3,0
46,310.65,37.01,3245.47,6,1,7.0,3.0,6,5,1
46,3026.11,23.41,773.24,0,1,37.9,8.9,30,1,0
80,1060.99,34.41,1455.62,2,1,24.9,9.1,9,3,0
47,1869.72,72.2,2089.75,1,1,30.9,5.8,14,1,0
54,5452.2,65.64,1253.6,6,12,60.0,9.4,27,1,0
51,8136.84,60.8,2872.6,2,12,6.3,6.9,16,4,0
48,2519.49,57.63,1373.36,2,12,33.4,9.1,20,1,1
36,169.02,105.23,3558.04,1,24,56.3,2.5,6,2,0
49,700.95,48.54,882.61,4,24,47.7,5.2,41,4,1
31,11438.61,83.56,4558.38,0,1,7.7,3.7,4,5,0
37,48.88,65.04,4435.16,3,1,21.6,4.7,5,5,1
34,17696.83,63.78,1886.3,2,1,29.1,8.9,1,1,0
41,6514.89,88.53,3375.4,3,24,30.4,6.4,29,3,1
68,21466.83,94.25,1519.49,2,12,31.4,6.1,65,3,0
18,2213.09,60.21,3215.94,4,1,17.2,5.0,2,5,0
48,135.35,80.98,1788.83,1,1,13.8,8.0,5,1,1
21,5684.76,72.28,457.47,0,24,9.1,5.7,11,5,0
34,20170.57,65.15,0.0,3,1,21.3,5.9,8,1,0
53,11933.24,69.09,1677.54,2,1,53.0,5.2,24,4,0
41,1103.19,51.24,2334.88,0,12,26.3,10.0,1,3,0
27,3395.28,58.88,3596.38,1,24,32.4,7.0,21,3,0
31,1340.43,53.39,2043.95,1,12,6.3,7.1,19,3,0
48,872.27,83.03,3203.49,3,24,44.9,7.8,1,6,0
31,12494.99,63.1,1455.27,2,12,31.9,3.9,11,3,0
43,494.58,39.05,1595.27,2,12,26.7,5.2,61,1,0
41,779.99,50.53,3264.84,1,12,9.9,7.0,5,3,0
32,569.05,10.0,0.0,1,24,20.6,9.9,64,1,0
66,318.82,55.11,2015.58,2,1,38.8,8.3,31,1,0
48,3713.1,65.75,1520.05,1,24,12.7,5.8,7,2,0
18,17021.88,62.28,3632.73,0,12,30.1,5.5,0,2,1
42,2259.02,104.6,1366.1,4,24,53.0,10.0,13,3,1
32,311.49,76.5,2619.9,4,12,17.7,4.9,22,5,0
50,10508.26,75.61,3105.82,4,12,10.0,4.3,3,5,0
30,37367.35,863.59,208.88,2,1,7.6,7.1,2,1,1
39,1130.75,57.71,1832.76,2,24,31.4,7.0,1,6,1
46,1454.14,55.27,1482.04,1,24,47.2,5.0,34,1,0
50,6460.69,49.28,3135.55,4,12,7.9,6.8,35,4,1
26,33955.65,49.0,2810.1,2,1,20.9,7.5,26,3,0
36,1366.83,28.84,1720.16,4,12,42.2,7.6,30,2,0
34,403.96,39.48,743.11,2,1,55.2,6.3,10,7,1
32,7685.79,82.48,3245.78,1,1,15.3,5.8,3,5,1
61,9883.3,62.14,1918.82,6,1,54.2,6.4,3,2,0
45,3008.5,54.87,57.95,3,12,10.6,4.8,9,1,1
25,1290.52,64.89,161.14,4,24,20.1,5.9,11,2,0
51,13247.55,88.35,2525.16,0,1,3.8,7.2,57,3,0
65,6581.74,65.08,469.03,5,24,13.4,7.6,11,3,1
52,941.38,75.81,4231.58,2,12,33.1,6.1,14,4,0
22,3208.77,48.07,875.52,1,24,39.3,7.6,13,4,0
34,392.46,52.63,1999.57,5,1,19.9,7.5,31,1,0
55,8340.14,72.08,2190.93,2,12,25.1,10.0,1,1,0
32,2011.53,102.85,1124.75,0,12,18.2,9.3,14,1,1
45,1550.66,93.6,0.0,2,12,18.9,1.0,49,2,0
49,2837.53,76.66,2229.07,0,24,23.3,5.6,49,3,0
29,3166.75,68.03,1096.11,3,24,30.6,7.4,32,5,1
39,11411.71,93.02,2139.85,1,24,43.0,6.2,12,1,1
18,7234.64,80.89,1853.2,0,1,11.7,10.0,7,5,0
28,2357.57,19.13,2315.95,2,1,11.8,8.7,2,3,0
37,9372.19,43.92,3874.24,0,1,57.3,2.8,16,3,1
25,5437.67,71.76,1344.58,0,24,27.2,5.1,47,2,1
60,1571.99,29.26,1437.39,2,1,63.5,6.3,10,3,0
23,2472.35,47.05,1.04,0,24,17.9,9.5,17,2,0
35,2386.7,51.0,1765.78,4,1,39.8,8.6,10,4,0
42,6360.69,59.88,2491.84,2,1,29.4,6.4,12,1,0
57,1718.95,59.25,1419.81,3,24,24.7,7.0,4,4,0
23,1659.69,59.22,2499.72,4,24,24.3,7.3,28,2,0
54,57132.93,81.51,1786.99,4,12,2.1,6.5,1,3,0
40,12205.03,59.7,437.28,4,24,42.5,8.2,88,2,0
28,952.51,57.31,2374.38,1,24,35.7,7.0,12,6,0
46,7019.25,38.02,1753.0,2,24,75.7,7.9,8,1,1
42,3560.03,85.49,2147.31,0,24,18.8,7.1,21,3,1
33,5363.26,51.57,1319.66,1,1,53.7,5.8,56,2,0
41,3662.91,43.26,1213.52,3,12,46.7,3.5,52,3,0
35,17755.74,69.26,2188.89,0,24,30.1,9.6,62,4,0
41,5006.19,49.66,1723.28,1,12,23.6,10.0,2,2,0
48,2715.87,54.48,4069.13,3,12,20.8,7.0,6,2,0
59,14232.54,70.17,2958.48,2,24,10.7,6.7,2,4,1
25,4229.87,58.47,2654.01,1,1,23.7,4.1,2,1,1
66,3576.78,111.23,1787.02,1,12,20.5,6.4,5,2,0
18,4774.45,63.5,0.0,1,12,6.0,8.7,3,1,0
38,2590.45,77.36,1030.89,0,1,24.3,8.4,10,1,0
47,3022.5,26.17,1223.25,1,1,42.1,4.2,13,2,0
43,1236.4,47.79,1670.02,2,24,21.6,10.0,10,5,0
33,966.08,43.26,,0,24,50.2,5.1,13,1,0
38,666.57,45.91,2787.29,2,12,10.1,6.2,49,5,0
34,369.45,73.31,2327.77,2,12,68.4,9.5,42,2,0
33,796.66,85.71,3391.04,1,24,21.3,8.3,79,4,0
50,2295.26,71.89,1625.72,2,24,21.3,6.4,37,1,0
44,3479.61,60.47,2308.6,4,1,27.0,5.1,44,1,0
32,1984.37,52.38,2412.61,0,12,41.6,10.0,28,2,0
51,87.05,87.27,2294.87,3,12,9.3,5.8,5,4,0
44,31630.58,106.43,3538.27,2,12,9.0,6.6,66,2,1
50,15210.18,67.7,2964.53,2,1,9.6,6.3,6,3,0
48,5817.58,83.79,416.72,4,24,15.9,7.6,27,2,1
30,52116.45,71.87,1862.8,3,1,42.8,7.2,6,3,1
33,688.11,80.11,1983.23,2,1,27.2,8.6,2,3,0
49,50586.38,41.71,4581.85,5,1,10.7,8.8,5,2,0
47,700.77,55.24,1604.25,1,24,38.9,5.6,6,6,0
40,4264.61,72.91,821.02,0,12,28.0,4.8,11,5,1
41,441.09,89.25,2525.99,1,1,32.7,9.0,2,4,1
55,3047.39,48.64,2596.38,3,1,5.8,5.3,21,2,0
33,5320.11,24.33,1911.47,0,1,19.2,6.9,38,4,0
47,2363.66,55.03,1735.69,0,24,59.6,6.2,35,4,0
38,8697.72,85.2,3138.68,1,24,38.8,6.0,44,3,0
37,3458.26,33.32,975.68,1,1,12.3,7.8,93,2,0
53,1361.55,41.46,1590.86,1,12,49.9,7.1,120,3,0
50,1273.83,68.12,1373.42,0,1,46.3,7.9,13,2,0
50,10060.49,62.68,3312.67,1,12,36.5,7.8,17,3,0
56,1118.1,76.89,2342.59,1,12,56.4,5.9,17,3,0
40,11767.59,40.43,722.01,3,12,11.4,10.0,25,5,0
48,18658.7,58.5,842.59,1,1,41.0,4.7,7,5,0
36,243.94,88.9,4248.1,3,24,47.2,6.7,36,2,0
44,16307.65,41.14,3299.86,1,24,30.6,10.0,3,1,0
38,65554.3,94.54,3009.86,0,24,3.2,7.2,72,4,1
41,4350.32,43.65,2014.7,0,12,38.9,5.9,3,2,0
47,7321.91,81.99,3810.17,3,1,47.1,8.9,33,1,0
30,14122.27,57.54,675.91,1,12,11.2,10.0,12,3,0
65,1971.95,42.1,2903.56,3,24,21.4,5.2,24,1,0
28,3918.33,55.06,1468.07,2,24,41.2,8.6,9,1,0
25,415.18,75.9,1701.33,3,1,30.3,8.3,3,1,1
54,3670.02,64.86,2870.95,2,24,42.8,6.4,67,2,0
49,6292.84,87.37,1827.73,1,12,40.5,9.0,17,4,0
47,6465.56,93.71,1478.36,1,1,40.5,7.9,9,4,1
48,14737.3,41.34,1405.81,4,1,31.6,6.9,24,4,1
40,932.43,39.87,0.0,2,24,47.1,8.3,7,1,0
29,1340.89,38.9,2915.84,6,1,60.8,3.6,1,5,0
41,51188.03,47.02,792.04,3,12,35.8,8.4,38,1,1
32,2379.17,87.08,4230.09,4,12,48.3,6.7,120,3,1
52,4024.08,76.21,1654.86,2,1,47.2,9.5,75,1,0
38,2695.89,54.1,3571.33,5,24,10.3,8.0,51,6,0
30,869.12,64.78,0.0,2,1,14.9,10.0,33,3,1
36,34040.08,93.09,2877.78,3,24,40.8,4.6,4,5,0
45,1350.79,103.16,3186.27,4,12,27.7,7.2,4,2,0
33,549.53,70.19,3564.28,2,1,18.6,5.9,4,4,0
30,1516.09,11.81,166.35,0,24,31.4,8.1,15,4,1
43,148.03,70.95,1156.74,0,24,5.7,5.0,16,7,1
43,1122.23,83.69,2691.81,2,1,46.9,5.7,21,1,1
34,697.71,69.49,2178.13,2,12,45.6,8.3,6,3,0
34,7526.18,79.53,2352.03,1,1,50.7,5.9,1,2,0
43,1085.59,72.14,1567.66,3,24,18.2,6.9,3,1,0
23,11290.38,40.31,3860.96,2,24,16.4,5.5,2,5,0
23,24287.72,47.28,5130.16,1,12,9.5,8.1,38,5,1
31,9621.57,58.58,2124.78,4,1,11.9,7.2,3,1,1
37,2157.96,86.31,2544.11,0,24,19.8,9.6,33,2,0
44,3683.7,49.68,2067.49,0,12,31.8,9.0,3,5,1
58,302.63,74.12,3540.86,1,12,28.1,2.7,16,7,0
50,2438.97,71.07,2994.94,4,1,29.7,8.5,8,2,0
38,820.03,96.72,720.34,1,12,38.2,9.7,25,1,0
40,8446.35,64.17,1264.76,3,12,9.8,5.1,4,2,1
28,100000.0,29.9,788.84,0,1,4.3,9.9,21,2,0
40,6309.0,77.94,5233.79,4,1,56.3,4.8,20,2,0
37,150.4,107.76,2762.37,0,12,20.3,10.0,12,2,0
44,1733.95,79.25,1285.18,3,12,37.8,10.0,16,2,0
30,3582.21,49.25,1189.34,2,1,8.9,4.9,4,3,1
46,3398.32,43.36,2966.28,1,1,35.7,5.8,40,6,1
58,996.03,45.94,3085.9,0,1,25.4,9.5,22,2,0
39,4306.74,105.07,2957.73,1,24,45.5,7.5,3,6,1
45,462.32,58.45,1489.33,2,1,8.5,8.2,60,3,0
48,722.44,51.75,2367.01,2,24,41.9,8.4,23,7,1
35,7853.36,61.83,2133.1,5,12,26.8,8.1,5,4,0
43,649.7,58.66,876.49,3,12,39.5,5.1,6,2,0
40,6682.97,96.35,888.21,3,24,16.0,5.6,5,1,0
41,382.15,44.71,2494.36,1,1,66.0,4.7,6,1,0
31,42076.25,88.61,2235.74,1,24,14.8,5.3,6,4,0
40,933.18,67.44,2664.02,0,12,12.6,9.1,33,4,0
46,2131.33,89.14,2949.23,5,24,24.7,10.0,21,3,0
57,4894.76,96.65,3799.26,2,1,63.0,9.1,6,2,0
52,1276.62,66.7,1068.91,1,12,49.2,6.7,65,2,1
66,3696.38,58.7,2756.28,1,24,16.6,4.4,0,2,1
31,7065.9,66.32,2899.04,5,1,8.9,2.3,28,3,0
50,12593.3,63.1,1625.44,2,24,13.5,8.1,19,2,0
42,9771.7,31.86,2146.24,3,24,0.9,9.4,18,5,0
66,2303.73,96.05,1656.13,1,1,4.2,10.0,19,2,0
30,2392.4,69.92,4530.31,3,1,44.3,8.4,16,1,0
30,100000.0,41.74,2125.82,6,1,18.3,7.6,70,4,1
33,12392.34,23.65,2541.81,5,1,16.4,7.6,23,3,0
18,747.9,18.45,1683.22,2,12,43.3,6.3,15,2,0
34,3463.32,80.41,1424.44,3,24,22.4,8.9,47,6,0
31,1803.14,52.62,437.6,1,12,45.0,7.5,53,4,0
42,2433.29,55.9,3319.84,3,12,27.3,9.3,36,3,0
44,471.42,74.76,2922.12,4,1,2.7,5.1,20,6,0
63,1606.99,54.68,1638.68,2,12,4.0,8.0,1,2,0
51,45131.41,75.93,919.56,0,12,69.3,4.5,58,1,1
33,7105.43,66.91,2215.89,2,24,10.1,10.0,41,2,0
29,71.04,63.32,1402.76,0,12,16.3,5.5,65,1,0
46,18491.85,33.54,1733.55,2,24,33.4,6.1,3,4,0
24,15282.2,48.61,483.73,1,24,37.0,10.0,78,1,0
62,1739.01,77.05,2260.48,3,1,13.6,10.0,81,2,0
54,8742.01,51.36,2284.4,1,1,34.5,9.8,14,2,0
34,821.31,89.11,3313.67,6,1,30.6,5.8,2,1,0
19,1472.35,111.93,1819.11,1,1,35.7,6.7,23,1,0
56,28220.94,78.13,1599.73,3,1,14.4,6.3,24,3,0
39,1983.08,94.86,131.89,5,12,59.8,6.6,18,1,0
55,180.44,79.41,3321.15,1,1,20.5,10.0,10,6,0
21,2710.92,54.31,3071.39,0,12,23.9,3.3,2,4,0
33,2649.48,69.0,2034.49,1,1,11.2,8.1,20,3,0
40,17989.67,105.27,404.92,1,12,36.0,8.7,9,6,1
41,3045.76,54.53,542.57,2,24,11.5,10.0,3,3,0
35,1583.87,44.21,1343.47,0,12,14.7,10.0,5,7,0
47,14293.84,42.32,3158.27,2,12,54.4,8.9,38,4,1
27,3573.09,60.65,2348.41,1,24,44.3,6.9,39,1,0
38,967.74,44.93,207.97,1,1,13.9,4.2,35,3,0
41,16856.58,98.48,2485.05,3,1,7.9,8.1,2,2,1
46,3985.8,69.33,993.02,1,24,31.2,5.5,3,1,0
49,2994.07,84.43,1373.35,1,24,47.1,9.8,6,1,0
27,3892.72,59.03,3166.09,2,1,19.3,10.0,93,3,0
22,598.24,42.2,2918.6,1,1,29.4,8.8,8,3,0
